 novel bagus|pos; 
tulisan hamka selalunya indah hati remuk bahasanya indah penceritaannya teratur kekuatan watak zainuddin hayati aziz muluk kesemua membantu gambaran penceritaan tenggelamnya kapal tenggelamnya cinta hayati zainuddin dibawa kuburan buku mesti dibaca seumur hidup|pos; 
romantis puitis ianya ditulis menceritakan cerita percintaan hayati zainuddin dibatasi adat keturunan karya buya hamka berharga difikirkan mengapa ditulis ditentang kebanyakan agamawan buku dicetak|pos; 
kisah dinamakan cinta terhalang adat insan mencintai tapi daya adat tak merestui membaca karya hamka akan karya marah roesli kisah siti nurbaya jodoh berlatarbelakang budaya adat padang mengundang kontroversi masanya|pos; 
bagus pembangunan jati pemuda pemudi cuma penamat agak tragik idea salah patah hati membaca suratsurat cinta menyentuh hati romantis karya sastra dimiliki orangorang nusantara|pos; 
ceritanya sederhana tapi mengena mengharu biru baca novel kali nangis kisahnya tragis banget agak tidak-kalah keren romeo juliet|pos; 
suka katakata puitis buya hamka jalan ceritaannya menyentuh hati menghayati cerita baik akan menerus mencari buku hasil tulisan beliau sememangnya terbaik|pos; 
hakikatnya sedikit sifat watak utama hayati zainudin kerana sifat manusia pencinta setia berubah sekelip mata kau orang kejam umpama kau tak berlaku kejam orang|pos; 
buku jujur relate ayat best ayat jujur hati diterangkan pasal alam pasal gunung pasal nilai murni tapi utus surat penat baca haha|pos; 
cinta tidakmelemahkan tapi membangkitkan tapi berhatihatilah penyakit melemahkan cinta keegoan karya agung hamka mencelikkan mata pembaca keagungan cinta menenggelamkan pembaca lautan cinta|pos; 
buku biasa kritik sosialnya kisah cintanya pesan moralnya biasa tidakpernah terbayangkan tokoh agama sekelas buya hamka mampu kisah cinta|pos; 
mahir mengulas novel cinta baik tragis bahagia adakah anggapan awal novel sejarah cerita menuntun hati mengerti tidakmemahami kabarnya novel akan diadaptasi layar perak semoga sukses|pos; 
suka banget bahasa katakata puitis buku udah duluan nonton filmnya membaca berimprovisasi kisah cinta tragis tapi bersimpati zainudin suka endingnya|pos; 
buku dibelikan brader jitra agak setahun simpan dirak gaya bahasa hamka sastra indonesianya buatku kerap kali tertangguh habiskan bacaan tapi ceritanya enak tidakseperti novel cinta terkesan|pos; 
novel novel baca lulus pilihanku mempengaruhi pilihan bacaan sastraku mencintai buku tua sastra love buya hamka|pos; 
suka kali kenal buku adik lakilaki usia sma minjem novel perpustakaan sekolahnya novel jadul bahasanya sekali gak jadul mudah dipahami alurnya berisi romantisme klasik menyedihkan|pos; 
mengangkat benturan nilainilai arus zaman menentang arogansi bangunanbangunan masyarakat konvensinoal kukuh dimediasikan kisah tragedi orang mencintai|pos; 
kisah novel tapi membacanya lumayan bosan surat budaya minang kental novel menjadikannya menarik dibaca|pos; 
baca buku orang buku terbaik hamka baca dapati hanya kisah cinta bertambahlah terarik plot padat gaya penyampaian mantap nikmati menghabiskan buku sedih tamat bacaan apapun hidup|pos; 
membaca buku kerana buku fenomena kagum karya hamka mampu bertahan berterusan dibaca sahaja niat hamka menulis buku murni kerana allah semoga roh penulis dicucuri rahmat|pos; 
novel sarat akan makna baca smp kelas susah sekali mencerna bahasa novel buka kamus bahasa indonesia bahasanya indah banget quote adat minang tak lapuk hujan tak lekang panas|pos; 
agak lambat menyelesaikan buku menikmati bahasanya indah manis terheranheran era mengapa kesedihan kesengsaraan menimbulkan karya|pos; 
penggunaan bahasa indah membawa tanah jawa contoh terbaik menyerahkan urusan tuhan novel buya hamka baca kali menangis citacita manusia tidakdapat melawan kehendak takdir|pos; 
kalinya suka nonton film adaptasi baca novelnya susah amat penuh perjuangan banget disuruh baca ejaan gue mending baca buku english version|pos; 
kenangan kecilaku membacanya kali masuk sekolah darjah ayahku sibuk alam pelajarannya buku salah koleksinyasampai suka mengulanginya|pos; 
gaya bahasanya syairsyair tempo salah sastra klasik indonesia kenapa hamka memilih judul novel judul efek kejutan penghujung cerita hadir lipat judulnya benarbenar spoiler hamka mampu menghadirkan protes kekakuan budaya cerdas alur cerita dipaksakan|pos; 
kesampingkan gaya bahasa judul spoiler salah novel roman terbaik buatan orang indonesia zamannya|pos; 
buku tulisan hamka tak mengecewakan lenggok bahasa menarik mudah difahami bahasanya indonesia menceritakan kisah percintaan darjat zainuddin hayati hebat berjaya buatkan menangis sebalik kisah percintaan hamka lembut sopan menyedarkan masyarakat memandang kerturunan harta berbanding agama harta kecantikan tidakakan kekal harta tidakmenjamin kebahagiaan sesebuah pasangan highly recommended|pos; 
lelaki tidakbernama ego peluang tidakmembongkokkan memungut peluang meletakkan sekali peluang darinya merendahkan peluang peluang akan melontarkan menyepak zainuddin hatinya cinta hayati tetapi ego menutup sukmanya bernafas udara cinta httpbudakkilangwordpresscom|pos; 
roman bagus suka sastra roman hamka mencerminkan kehidupan masyarakat normal roman hamka melontarkan kritiknya adat minangkabau meninggikan kaumnya katakata pergilah negeri beradat seakanakan orang memiliki adat hanya orang minangkabau roman digambarkan kisah cinta terhalang adat kisah cinta menyedihkan roman patut dibaca orang minangkabau|pos; 
cerita dibuku alami wanitanya orang bugis minangkabau hitungan kejadian nonton film bis jemputan kekantor tapi hanya berkaca disalah stasiun televisi menonton film hanya tidak-tahu awal kisah alami keingat seiring nonton film baca bukunya petik pesan nilai moral diutarakan cerita tsb realitanya dimana adat berperan|pos; 
membaca novel menonton filmnya terhanyut tenggelam novel tenggelamnya kapal van der wijck kisah cinta zainuddin hayati benarbenar jalinan cinta mati sulit tak akan dijumpai novelnovel susunan jenis sastra mengalir membaca novel hanya membaca merasakan terhanyut menyaksikan kisah cinta penghargaan hamka|pos; 
tajuknya membuatkan tertarik membaca kisah kisah kapal van der wijck kisah pelayaran zaman sangka kisah kisah percintaan anak muda zainudin hayati derajat adat bagaimanapun olahan penulis hamka menarik keistimewaan tersendiri membuatkan membacanya tamat|pos; 
genre favorit skip novel angkatan tidakpernah lupa menghadirkan air mata sedih bahagia cerita keteguhan hati zainudin akan pembaca tertarik karakternya akhir cerita salah pikiran terlintas kenapa judulnya tenggelamnya kapal van der wijck pesan moral sekali worthreading percayalaah|pos; 
kedalaman cinta sepasang manusia sekian kalinya lahir ulama hamka latar kehidupan rakyat sumatera tata nilainilai sosial adat agama kental dibuktikan tulisan cinta didasari kemurnian jiwa akan bertahan ruangruang tertutup pintu ajal tak lepas ujian menguji ketulusan pasangan berdua|pos; 
recommends sejengkal jempol jari sungguh tidakpercaya hamka menukil kisah manusia jiwa naluri menyayangi disayangi kisah hati sungguh tidakjemu baca zainuddin hayati percintaan tentangan keluarga disebabkan perbedaan derajat tapi hanya cinta picisan penuh semangat anak muda memperjuangkan kehidupan kecintaan tulus bacalah|pos; 
berkisah anak muda mencintai tetapi dihalang keluarga kerana berbeda derajat situasi biasa orang zaman berpegang teguh adat benda novel bergantung adat baik bergantung peradaban tuhan insyaallah hidup senang cinta diperjuang tapi cinta manusia kau kecewa mati|pos; 
buku sastra baca duduk kelas sma guru bahasa indonesia tugas meresensi karya sastra memilih perpustakaan buku resensi agak sulit awalnya membaca buku apalagi ejaan setting faktor menyebabkan malas membaca buku awalnya mengikuti jalan ceritanya tak berhenti|pos; 
era mengamati perjalanan kisah hidup zainuddin hayati keramaian padang menyelami hati anak dagang perusuh hati zainuddin akhir hayatnya mencintai hayati lentera hidupnya sepenuh hati cinta gombal janjijanji palsu hanya tokoh hidup insan terombangambing permainan takdir|pos; 
can learn that you want good people must have good attitude there are some people dislike must patient menghadapi berpikir salah meninggalkan mengikuti baik orang percaya baik|pos; 
membeli naskhah khas kisah zainuddin amat hiba kisah cinta agung lelaki cinta tidakberubah arah cinta darinya beliau mengorak manusia mulia terkenal disanjung masyarakat didunia dimiliki zainuddin sahaja pencinta agung berjasa membaca sentimen hiba luluh luruh airmata mudah kolam airmata melimpah tidaktertahankan|pos; 
akan kah seindah hayati cintanya zainuddin tapi bukankah thomas campbel mengisyaratkan hidup hati tinggalkan mati zainuddin cinta murni tertinggal pertemuan jasmani jasmani terlupa pergabungan badan badan keikhlasan kesucian jiwa diharapkannya allah maha|pos; 
selesai baca van der wijck cerita kehidupan zainudin sedih diusir orangorang asalnya wanita dicintainya memilih menikah pria bahasa berpikir kali baca buku kalimatnya agak sulit dicerna pengaruh pengarangnya hamka tapi over all bagus drama sengsaranya dapet trus pelajaran hidup cinta buku nggak sabar baca buku ronggeng dukuh paruk ahmad tohari|pos; 
bahasanya cantik jalan ceritanya air sungai mengalir tenang berombak mangsa derasnya angin menghibakan hati pembacanya buku tamparan manusia zaman moden bertuhankan mentaliti seakan darah daging riwayat tenggelamnya kapal van der wjick sahaja mengisahkan kisah cinta darjat ianya salah buku terbaik baca|pos; 
menangis membaca buku baik haru bahagia tika sedih nestapa melanda nyata didalamnya terhanyut alur ceritanya menyentuh belajar buku tak hayati malang sungguh kehidupannya bersuamikan lelaki baiklah penuhi hidup mati hanya allah cukup allah bagiku|pos; 
buku buya hamka kubaca buku beliau lindungan kakbah ceritra kasih memilukan hayati zainuddin ending cinta bertemu berujung kematian kasihan sangatsebegitukah entahlah sarat pelajaran bermakna sayang dilewatkan ketagihan|pos; 
tulisan hamka penuh makna mendalam bahasa melayu indonesia awalnya sukar difahami tetapi sejurus muka surat perenggan kisah zainudin pergi merantau kampung ayahnya menempuh pelbagai ranjau dugaan bertemu hayati gadis berketurunan banding zainuddin sedikit menghalang cinta suci indah bait surat|pos; 
ceritanya tonton durasi jam download internetlakonan hebat berjaya membawa watak zainuddin hayatisinggah kedai buku ternampak novel membelinya harga rmedisi kenangkenangan terbitan ptstak masuk baca novel bahasa bahasa indonesiajadi simpan kenangkenangan|pos; 
hamka sastra melayunya kisah tenggelamnya kapal van der wijck klimaks baik bintang cinta janji perasaan dikhianati menghiasi lembar lembar kisah zainuddin hayati kehendaknya|pos; 
karya hamka sarat bahasa halus menyentuh indah sekali kisah tidakberakhir happy ending tidakjuga berkisar kapal van der wijck temanya cinta adat agama status sosial citacita persahabatan kisah cinta tidakkesampaian tragedi dibawa mati|pos; 
hidup zaman moden membaca buku dibawa belayar zaman adat santunnya kuat kadang dibelai angan klasik zaman kehidupan zainuddin dek penangan cinta zainuddin hidupnya melarat kemudiannya gemilang dugaan pelbagai cinta bersemi|pos; 
buku favorit awalnya cuma iseng pinjam perpus sekolah bkn hanya tertarik penulisnya buya hamka tapi cari referensi nulis surat cinta wkwkwkwk jujur buku air mata menetes karya hamka sarat pesan moral keindahan teruntai khas penulisnya|pos; 
kesempatan baca lihat titik perpecahan jiwa setianya hujung cerita sahaja akan dapati punca perumitan permasalahan adat adat terlampau kedudukan mejadi oerhatian wang jaminan karya relevan perhatikan|pos; 
damn romantis sekali giung tidakterbiasa sengaja menengok kisah kampus sastra memahami roman segiung apapun dosen mata kuliahnya menugaskan menganalisis karya hamka lumayan ilmu|pos; 
adakah menemui kisah mencabar alam nyata|pos; 
buku akhir cerita sedih mengajarkan jodohmu dunia semoga jodohmu akhirat|pos; 
khusus suka tata bahasanya puitis tidakbiasa seakan diajak jaman buku kali ditulis pribadi suka pengungkapan cinta tapi sedikit diobati tokoh utama mengedepankan agama cinta cinta darinya diambil btw awas rada php akhirakhir less|pos; 
hamka tenggelamnya kapal van der wijck naskah sarat makna susunan bahasa cantik tetapi membosankan tema cerita kuat cinta darjat perjalanan realiti kehidupan nilai agama isu budaya adat keturunan naskah penuh pesan moral pembaca bagus sesuai diskusi pembelajaran malangnya pengakhiran tragik membuatkan salah pembaca tidakmahu mengulang pembacaan naskah tempoh terdekat|pos; 
hmmm tidakmendapat informasi signifikan pergerakan nasionalis novel kali terbit dimana dipercaya sejarawan masamasa pergerakan nasionalis ditandai dibuangnya aktivis soekarno hatta sjahrir dilarangnya partai nasional indonesia|pos; 
engkau renggutkan tali pengharapanku tali pengharapanmu bergantung kisah cinta epik zaman pra merdeka dibaca memahami akan cinta lakilaki perempuan|pos; 
asian romeo juliet bagus baca|pos; 
penggunaan bahasa menyebabkan sukar faham akan cerita ceritanya dibaca teliti perlahan isinya kisah sungguh sedih penuh bahasa indah cukup iktibar hidup terutamanya zaman moden pengakhirannya sungguh menghibakan hati selepas akan tonton filemnya insyaallah|pos; 
sarat cinta kisah menyayat hati|pos; 
ulang baca kisah hayatizainudin|pos; 
read twice true hamka undeniablebut not happy with this book|pos; 
kuat bacanya asli nangis bombay hahaha alm hamka youre the master ever|pos; 
bacaan sajasaja nak ambil feel keceper|pos; 
lembut susun atur bahasanya jatuh cinta|neg; 
tidakkomentar kaget penggunaan bahasanya kiasan indah|pos; 
silap cuaca berjerebu bilamana habis membaca buku mata berkaca|pos; 
plot evergreen latar berbeza kisah dijumpai dimanamana tetapi berbeza berbaloi dibaca|net; 
wahnovel tuluscerita penuh perasaan bosansedihgembiraperasaan awangan jatuh cintaputus asa kehidupanbahagia sekejap kemudianuhukbaca ye|pos; 
dibaca kulit hijau dah tua gayut baca mua cinta seharusnya menguatkan melemahkan|pos; 
ceritanya love story tempo kasih tak kaya rome juliet cuma latar nya daerah sumatra barat sedihnya tokoh ceweknya mati tengelam kapal vanderwitch kali dengar buku pas smp bahas spotong cerita novel pas pelajaran bahasa penasaran ceritanya setealah berbulan nyari ketemunya pasar buku jakarta ntah dah kecetakan keberapa cuma harga mahal ribu|pos; 
kagum kelembutan bahasa indonesia buku karya buya hamka baca genre bukubuku pesan elakkan pembacaan sblm tidaktahu disebabkan mahu mengenali buya hamka baca cuma sarankan mendahulukan menonton filem membaca buku hilang nikmat membaca salam sayang zainuddin lel|pos; 
pedih awal akhir jalinan ceritanya tidakleceh romantisme versus tradisi isu sosial perilaku geleng kepala novel ditulis ulama baca kisah cinta cengeng sebaiknya baca dijamin novel cengeng akan menunduk malu novel tragis pola narasinya mengagumkan|pos; 
seorg pemuda malang malangnya bertimpa timpa muncul sang bunga menghilangkan duka tapi gembira hanya sekejap buku pnuh emosi pendefanasian cinta suci kian dilupakan diganti cinta metarialistik tau mengklaifikasikan sbg sad ending happy ending|pos; 
its like malay version romeo and juliet some the words did not understand because its either minang indonesian however love the setting where started from village where there car and the village quiet and peaceful with lots traditional custom that they really hold to|pos; 
pilu sedih gembira terkilan marah perasaan berbaurbaur tika membaca buku wah aneh ulama menghasilkan novel zaman nya kecewa zainuddin kerana tidakmenahan hayati|pos; 
karya roman agung prof hamka mengesankan tak berbuat perkara buku tak lepas sebaik sahaja membacanyaberkualiti mencapi depth cerita bukunya|pos; 
salah tugas mingguan entah kenapa buku membosankan katakata indah penuh kiasan bikin enegtokoh zainuddin sekali gak bikin simpati cengeng|pos; 
wow kisah nyata ato bukantapi msh smpet liat bangkai kapalnya perairan tubanpas duluskg dah diangkat|pos; 
direkomendasikan dibaca orangtua sekolah roman terkenal masanya berharap menyimpan buku perpustakaan sekolah|pos; 
membaca karya buya hamka menerbitkan pelbagai emosi dlm iniseolah jiwa menyatu jiwa zainudindapat dirasa duka dlm jiwa zainudin mengkhatamkan buku inikehilangan kekasih hati akibat adat resam disanjung dlm masyarakatmembina nama sbg penulis terkenal membawanya bertemu kartini kekasih hatinya terpisah akibat kekhilafan terburu keputusan|pos; 
karya sastra biasa lbih bgus karya roman romeo juliet skarang buku slalu sya kisah cinta zainuddin hub darah darah bugis hayati darah minang hamka mang biasa mengangkat thema biasa|pos; 
kali menekuni buku lepas perkataan ditulis hamka sarat nuansa bahasa cukup indah penuh intipati nasihat pengajaran kadangkala sinis tapi|pos; 
roman terbaik kuba cacerita cinta kekolotan adatbuku sngt menguras emosi pembacanya hamka berhasil membawa pembaca cerita trsbtdan kalimat pntas menggmbrkan isi buku initrue love will never die|pos; 
bahasa ditulis penuh berhatihati tapi baca penuh laju hanya menikmati pinjam buku orang haha kena laju sikit baca|pos; 
demmit sedih laaaaaa cerita menahan air mata maskulin|pos; 
bahasa bintang jalan cerita bintang|pos; 
tenggelam baitbait lemas dugaan luluh hatiku pengakhiran kisah cinta tidaksemestinya akan bersatu|net
